k (h/Mpc),P_m (Mpc/h)^3,k_width (h/Mpc),k_vol (h/Mpc),mid P_m (Mpc/h)^3 ,P_m*k_vol,log(k),log(P_m)
0.000101016,434.4116893,,,,,-3.995608315,2.637901503
0.00013653,569.7077898,3.55E-05,4.48E-14,502.0597396,2.25E-11,-3.864771777,2.755652158
0.000184523,779.0476589,4.80E-05,1.11E-13,674.3777244,7.45E-11,-3.733950101,2.891564027
0.000245663,1021.714469,6.11E-05,2.29E-13,900.3810638,2.06E-10,-3.60966022,3.009329544
0.00034218,1397.049161,9.65E-05,8.99E-13,1209.381815,1.09E-09,-3.46574523,3.145211689
0.000476609,1950.627943,0.000134429,2.43E-12,1673.838552,4.07E-09,-3.321837671,3.290174441
0.000644168,2558.144639,0.000167558,4.70E-12,2254.386291,1.06E-08,-3.191001133,3.407925096
0.000883857,3354.75562,0.00023969,1.38E-11,2956.45013,4.07E-08,-3.053617938,3.525660889
0.001249788,4683.912567,0.000365931,4.90E-11,4019.334094,1.97E-07,-2.903163722,3.67060878
0.001794061,6539.458805,0.000544273,1.61E-10,5611.685686,9.05E-07,-2.746162849,3.815541808
0.002461574,8757.057642,0.000667513,2.97E-10,7648.258224,2.27E-06,-2.608787085,3.942358208
0.003277367,10786.53368,0.000815793,5.43E-10,9771.79566,5.31E-06,-2.484474911,4.032881904
0.004634566,13851.83679,0.001357198,2.50E-09,12319.18524,3.08E-05,-2.333990971,4.141507366
0.006264232,17061.46028,0.001629667,4.33E-09,15456.64854,6.69E-05,-2.203132141,4.232016199
0.007971909,19739.79595,0.001707677,4.98E-09,18400.62812,9.16E-05,-2.098437645,4.295342659
0.00969704,21452.20227,0.00172513,5.13E-09,20595.99911,0.000105742,-2.013360828,4.331471883
0.013107962,23800.03968,0.003410922,3.97E-08,22626.12098,0.000897895,-1.882464842,4.376577681
0.016187543,24291.27004,0.003079581,2.92E-08,24045.65486,0.000702282,-1.790819075,4.385450222
0.0215567,23281.2681,0.005369157,1.55E-07,23786.26907,0.003681668,-1.66641773,4.367006632
0.026624414,20526.50093,0.005067714,1.30E-07,21903.88451,0.002850739,-1.574719946,4.312314923
0.032392063,17723.82564,0.005767649,1.92E-07,19125.16328,0.003669456,-1.489561389,4.248557469
0.042498641,13497.14964,0.010106577,1.03E-06,15610.48764,0.016114944,-1.371624961,4.130242063
0.054098899,11175.80483,0.011600259,1.56E-06,12336.47723,0.019257246,-1.26681157,4.048278809
0.065819476,9450.19451,0.011720576,1.61E-06,10312.99967,0.016604733,-1.181645581,3.975440748
0.076539896,7826.483335,0.01072042,1.23E-06,8638.338923,0.010643039,-1.116112133,3.893566665
0.093130302,5961.088479,0.016590406,4.57E-06,6893.785907,0.031479573,-1.03090899,3.775325568
0.115037864,4540.143809,0.021907563,1.05E-05,5250.616144,0.055206784,-0.939159189,3.657069609
0.135813584,3531.334386,0.020775719,8.97E-06,4035.739097,0.036190225,-0.867056791,3.547938843
0.16033589,2863.975455,0.024522306,1.47E-05,3197.654921,0.047153671,-0.794969254,3.456969292
0.186469918,2092.240315,0.026134028,1.78E-05,2478.107885,0.044232276,-0.72939122,3.320611566
0.216856254,1593.731128,0.030386336,2.81E-05,1842.985722,0.051707911,-0.663828048,3.202415055
0.248429594,1164.319555,0.031573339,3.15E-05,1379.025341,0.043404405,-0.604796671,3.066072192
0.297750421,905.5794606,0.049320827,0.000119975,1034.949508,0.124168154,-0.526147616,2.956926564
0.351559929,621.3154528,0.053809508,0.000155803,763.4474567,0.118947746,-0.454000632,2.793312155
0.427798903,426.2535636,0.076238974,0.00044313,523.7845082,0.232104612,-0.368760334,2.629668023
0.512791406,286.390195,0.084992503,0.000613963,356.3218793,0.218768281,-0.290059262,2.456958145
0.652939623,169.7091184,0.140148216,0.002752724,228.0496567,0.627757844,-0.185126976,2.229705178
0.869956019,86.86471006,0.217016396,0.010220629,128.2869142,1.311173006,-0.060502703,1.938843374
1.194619903,42.63739209,0.324663884,0.034221729,64.75105108,2.21589289,0.077229746,1.629790633
2.088824302,12.14519011,0.894204399,0.715007186,27.3912911,19.58496997,0.319901912,1.084404317
3.438704683,3.388416921,1.349880381,2.45972104,7.766803517,19.10417002,0.53639488,0.529996842
5.016612539,1.267175481,1.577907856,3.928664256,2.327796201,9.145129729,0.700410559,0.102836761
,,,,,,1.95,-2.85
